1,A,A-The first letter of the English and of many other alphabets.
2,A 1,A l- A registry mark given by underwriters (as at Lloyd's) to ships in first-class condition. Inferior grades are indicated by A 2 and A.
3,ABACTION,ABACTION-Stealing cattle on a large scale.
4,ABACUS,ABACUS-A table or tray strewn with sand anciently used for drawing and calculating and etc.
5,ABANDON,ABANDON-To cast or drive out or to banish or to expel or to reject.
6,ACTIVE,ACTIVE-doing something; being busy or lively.
7,ACUTE,ACUTE-critical; sharp; keen.
8,AQUA,AQUA-Water; -- a word much used in pharmacy and the old chemistry in various signification; determined by the word or words annexed.
9,ARCANE,ARCANE-Hidden; secret. [Obs.] 'The arcane part of divine wisdom.' Berkeley.
10,ARCHITECT,ARCHITECT-A person skilled in the art of building; one who understands architecture; or makes it his occupation to form plans and designs of buildings; and to superintend the artificers employed.
11,CHALK,CHALK-To rub or mark with chalk.
12,CHAM,CHAM-The sovereign prince of Tartary; -- now usually written khan.
13,CHAMBER,CHAMBER-To reside in or occupy a chamber or chambers.
